"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "SQLite", "XML", "Prisma", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\benou\Bureau\Code\studyswipe\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"d:\benou\Bureau\Code\studyswipe\next-auth.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\benou\Bureau\Code\studyswipe\next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\benou\Bureau\Code\studyswipe\package.json", "JSON", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"d:\benou\Bureau\Code\studyswipe\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250112162209_initial\migration.sql", "SQLite", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 11, 15, 82
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250112164716_new_models\migration.sql", "SQLite", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 9, 9, 50
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250112225541_optional_datetimes\migration.sql", "SQLite", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 2, 8
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250112230230_\migration.sql", "SQLite", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8, 1, 11
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250113175216_migrate\migration.sql", "SQLite", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 11, 3, 18
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250113195623_changed_deck_architecture\migration.sql", "SQLite", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 9, 3, 15
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250115221711_added_a_visibility_field_for_decks\migration.sql", "SQLite", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250117183640_added_ownerid_field_in_deck\migration.sql", "SQLite", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8, 2, 12
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250117202521_added_pseudo_for_users\migration.sql", "SQLite", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250117214837_unique_pseudo\migration.sql", "SQLite", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 1, 9
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250121111308_\migration.sql", "SQLite", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\benou\Bureau\Code\studyswipe\prisma\migrations\20250121111826_\migration.sql", "SQLite", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
